date,United_Kingdom_solar_cf,United_Kingdom_wind_cf,United_Kingdom_demand,United_Kingdom_wd_demand,UK_wind_speed,UK_temp,United_Kingdom_wind_gen,United_Kingdom_solar_gen,demand_net_wind,wd_demand_net_wind,demand_net_renewables,wd_demand_net_renewables,demandESO,demandESO_net_wind,demandESO_net_renewables
1957-05-06,0.1714855344041666,0.3514521193649672,42.31188449923936,43.12015454390744,7.105907281458333,4.806509193,10.410714679829058,2.641340240767057,31.901169819410306,32.709439864078384,29.25982957864325,30.068099623311326,,,
1957-05-07,0.2080345171541666,0.0808821867981784,43.06726156479855,43.06726156479855,4.027030423375,4.877258744,2.3958921373356405,3.2042932573704817,40.671369427462906,40.671369427462906,37.467076170092426,37.467076170092426,,,
1957-05-08,0.1588953125416666,0.2279291301014149,42.37655452444381,42.37655452444381,6.114501898875001,5.801147206,6.751716691864113,2.4474168304855284,35.6248378325797,35.6248378325797,33.17742100209417,33.17742100209417,,,
1957-05-09,0.1220878446666666,0.3478677041220206,41.11325614695514,41.11325614695514,7.304481674666667,7.490932783,10.304537131502494,1.8804824450472655,30.808719015452645,30.808719015452645,28.928236570405378,28.928236570405378,,,
1957-05-10,0.05203430825,0.2795036912075666,38.56107409295097,39.46081659728049,6.548307783333333,9.701232873,8.279458340950537,0.801468839682275,30.28161575200043,31.181358256329954,29.480146912318155,30.37988941664768,,,
1957-05-11,0.0235150498333333,0.434725682817844,34.63835983256489,38.482271515416926,8.096481069375,11.01013297,12.877444176430176,0.36219525806788283,21.760915656134713,25.604827338986752,21.39872039806683,25.242632080918867,,,
1957-05-12,0.013806977125,0.4464400185024793,34.31085728563302,39.00167321931228,8.132097312625,10.31538221,13.22444622808044,0.21266472656323748,21.08641105755258,25.777226991231842,20.87374633098934,25.564562264668602,,,
1957-05-13,0.1578309123333333,0.4081295905942066,38.25791817856983,39.06618822323792,7.478892860041667,10.22908706,12.089614732581587,2.4310221933966325,26.168303445988244,26.976573490656335,23.73728125259161,24.545551297259703,,,
1957-05-14,0.1157740469583333,0.4933145861133614,38.56181727077835,38.56181727077835,8.647209543416666,10.90373271,14.61296466984999,1.78323291308512,23.948852600928358,23.948852600928358,22.16561968784324,22.16561968784324,,,
1957-05-15,0.1852629720833333,0.5530244956210054,38.49031574847636,38.49031574847636,9.138948240958333,10.99937302,16.381691609285422,2.853549980107958,22.10862413919094,22.10862413919094,19.255074159082984,19.255074159082984,,,
1957-05-16,0.1760226632916667,0.4171926396906247,39.18520006407707,39.18520006407707,7.62521444375,10.06989704,12.358080372915685,2.711224275882554,26.827119691161386,26.827119691161386,24.115895415278835,24.115895415278835,,,
1957-05-17,0.1409507388333333,0.5718367991932113,38.29308372491538,39.19282622924491,9.352163843333333,10.05969629,16.938949665701305,2.171021945028183,21.354134059214072,22.253876563543603,19.18311211418589,20.08285461851542,,,
1957-05-18,0.1362231087083333,0.4838335304021291,35.938320935887035,39.78223261873907,8.603824479041666,9.271307396,14.332116837571869,2.098203676501845,21.606204098315168,25.450115781167206,19.50800042181332,23.35191210466536,,,
1957-05-19,0.1982644539583333,0.3332375365080911,34.98148369563289,39.67229962931215,7.305503568708333,9.41835356,9.871162306442676,3.0538079049840205,25.11032138919021,29.801137322869472,22.056513484206192,26.747329417885453,,,
